trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
1,00:00:00,00:00:00,1,0,,,,
1,00:00:00,00:00:00,1,1,,,,
2,00:00:00,00:00:00,1,0,,,,
2,00:02:14,00:02:14,2,1,,,,
3,00:00:00,00:00:00,1,0,,,,
3,00:16:41,00:16:41,3,1,,,,
4,00:00:00,00:00:00,1,0,,,,
4,00:14:37,00:14:37,4,1,,,,
5,00:00:00,00:00:00,1,0,,,,
5,00:15:59,00:15:59,5,1,,,,
6,00:00:00,00:00:00,1,0,,,,
6,00:15:13,00:15:13,6,1,,,,
7,00:00:00,00:00:00,1,0,,,,
7,00:14:43,00:14:43,7,1,,,,
8,00:00:00,00:00:00,1,0,,,,
8,00:17:43,00:17:43,8,1,,,,
9,00:00:00,00:00:00,1,0,,,,
9,00:14:06,00:14:06,9,1,,,,
10,00:00:00,00:00:00,1,0,,,,
10,00:12:09,00:12:09,10,1,,,,
11,00:00:00,00:00:00,1,0,,,,
11,00:04:48,00:04:48,11,1,,,,
12,00:00:00,00:00:00,1,0,,,,
12,00:11:42,00:11:42,12,1,,,,
13,00:00:00,00:00:00,1,0,,,,
13,00:04:35,00:04:35,13,1,,,,
14,00:00:00,00:00:00,1,0,,,,
14,00:11:08,00:11:08,14,1,,,,
15,00:00:00,00:00:00,1,0,,,,
15,00:13:12,00:13:12,15,1,,,,
16,00:00:00,00:00:00,1,0,,,,
16,00:11:36,00:11:36,16,1,,,,
17,00:00:00,00:00:00,1,0,,,,
17,00:14:37,00:14:37,17,1,,,,
18,00:00:00,00:00:00,1,0,,,,
18,00:17:56,00:17:56,18,1,,,,
19,00:00:00,00:00:00,1,0,,,,
19,00:19:55,00:19:55,19,1,,,,
20,00:00:00,00:00:00,1,0,,,,
20,00:19:39,00:19:39,20,1,,,,
21,00:00:00,00:00:00,1,0,,,,
21,00:18:39,00:18:39,21,1,,,,
22,00:00:00,00:00:00,1,0,,,,
22,00:16:58,00:16:58,22,1,,,,
23,00:00:00,00:00:00,1,0,,,,
23,00:06:07,00:06:07,23,1,,,,
24,00:00:00,00:00:00,1,0,,,,
24,00:10:16,00:10:16,24,1,,,,
25,00:00:00,00:00:00,1,0,,,,
25,00:10:41,00:10:41,25,1,,,,
26,00:00:00,00:00:00,1,0,,,,
26,00:11:38,00:11:38,26,1,,,,
27,00:00:00,00:00:00,1,0,,,,
27,00:06:42,00:06:42,27,1,,,,
28,00:00:00,00:00:00,1,0,,,,
28,00:05:10,00:05:10,28,1,,,,
29,00:00:00,00:00:00,1,0,,,,
29,00:07:32,00:07:32,29,1,,,,
30,00:00:00,00:00:00,1,0,,,,
30,00:16:49,00:16:49,30,1,,,,
31,00:00:00,00:00:00,1,0,,,,
31,00:15:43,00:15:43,31,1,,,,
32,00:00:00,00:00:00,1,0,,,,
32,00:15:04,00:15:04,32,1,,,,
33,00:00:00,00:00:00,1,0,,,,
33,00:13:22,00:13:22,33,1,,,,
34,00:00:00,00:00:00,1,0,,,,
34,00:17:53,00:17:53,34,1,,,,
35,00:00:00,00:00:00,1,0,,,,
35,00:11:44,00:11:44,35,1,,,,
36,00:00:00,00:00:00,1,0,,,,
36,00:13:38,00:13:38,36,1,,,,
37,00:00:00,00:00:00,1,0,,,,
37,00:16:40,00:16:40,37,1,,,,
38,00:00:00,00:00:00,1,0,,,,
38,00:12:33,00:12:33,38,1,,,,
39,00:00:00,00:00:00,1,0,,,,
39,00:11:33,00:11:33,39,1,,,,
40,00:00:00,00:00:00,1,0,,,,
40,00:13:54,00:13:54,40,1,,,,
41,00:00:00,00:00:00,1,0,,,,
41,00:15:49,00:15:49,41,1,,,,
42,00:00:00,00:00:00,1,0,,,,
42,00:14:51,00:14:51,42,1,,,,
43,00:00:00,00:00:00,1,0,,,,
43,00:17:01,00:17:01,43,1,,,,
44,00:00:00,00:00:00,1,0,,,,
44,00:46:22,00:46:22,44,1,,,,
45,00:00:00,00:00:00,1,0,,,,
45,00:16:06,00:16:06,45,1,,,,
46,00:00:00,00:00:00,1,0,,,,
46,00:09:43,00:09:43,46,1,,,,
47,00:00:00,00:00:00,1,0,,,,
47,00:19:20,00:19:20,47,1,,,,
48,00:00:00,00:00:00,1,0,,,,
48,00:17:39,00:17:39,48,1,,,,
49,00:00:00,00:00:00,1,0,,,,
49,00:10:02,00:10:02,49,1,,,,
50,00:00:00,00:00:00,1,0,,,,
50,00:18:54,00:18:54,50,1,,,,
51,00:00:00,00:00:00,1,0,,,,
51,00:10:17,00:10:17,51,1,,,,
52,00:00:00,00:00:00,1,0,,,,
52,00:09:37,00:09:37,52,1,,,,
53,00:00:00,00:00:00,1,0,,,,
53,00:07:36,00:07:36,53,1,,,,
54,00:00:00,00:00:00,1,0,,,,
54,00:04:44,00:04:44,54,1,,,,
55,00:00:00,00:00:00,1,0,,,,
55,00:19:23,00:19:23,55,1,,,,
56,00:00:00,00:00:00,1,0,,,,
56,00:03:47,00:03:47,56,1,,,,
57,00:00:00,00:00:00,1,0,,,,
57,00:09:19,00:09:19,57,1,,,,
58,00:00:00,00:00:00,1,0,,,,
58,00:17:11,00:17:11,58,1,,,,
59,00:00:00,00:00:00,1,0,,,,
59,00:11:33,00:11:33,59,1,,,,
60,00:00:00,00:00:00,1,0,,,,
60,00:14:27,00:14:27,60,1,,,,
61,00:00:00,00:00:00,1,0,,,,
61,00:11:01,00:11:01,61,1,,,,
62,00:00:00,00:00:00,1,0,,,,
62,00:07:40,00:07:40,62,1,,,,
63,00:00:00,00:00:00,1,0,,,,
63,00:08:54,00:08:54,63,1,,,,
64,00:00:00,00:00:00,1,0,,,,
64,00:15:10,00:15:10,64,1,,,,
65,00:00:00,00:00:00,1,0,,,,
65,00:09:29,00:09:29,65,1,,,,
66,00:00:00,00:00:00,1,0,,,,
66,00:38:32,00:38:32,66,1,,,,
67,00:00:00,00:00:00,1,0,,,,
67,00:40:31,00:40:31,67,1,,,,
68,00:00:00,00:00:00,1,0,,,,
68,00:42:48,00:42:48,68,1,,,,
69,00:00:00,00:00:00,1,0,,,,
69,00:41:07,00:41:07,69,1,,,,
70,00:00:00,00:00:00,1,0,,,,
70,00:15:49,00:15:49,70,1,,,,
71,00:00:00,00:00:00,1,0,,,,
71,00:43:03,00:43:03,71,1,,,,
72,00:00:00,00:00:00,1,0,,,,
72,00:39:39,00:39:39,72,1,,,,
73,00:00:00,00:00:00,1,0,,,,
73,00:39:49,00:39:49,73,1,,,,
74,00:00:00,00:00:00,1,0,,,,
74,00:40:57,00:40:57,74,1,,,,
75,00:00:00,00:00:00,1,0,,,,
75,00:40:11,00:40:11,75,1,,,,
76,00:00:00,00:00:00,1,0,,,,
76,00:16:52,00:16:52,76,1,,,,
77,00:00:00,00:00:00,1,0,,,,
77,00:09:44,00:09:44,77,1,,,,
78,00:00:00,00:00:00,1,0,,,,
78,00:12:46,00:12:46,78,1,,,,
79,00:00:00,00:00:00,1,0,,,,
79,00:12:31,00:12:31,79,1,,,,
80,00:00:00,00:00:00,1,0,,,,
80,00:15:47,00:15:47,80,1,,,,
81,00:00:00,00:00:00,1,0,,,,
81,00:12:07,00:12:07,81,1,,,,
82,00:00:00,00:00:00,1,0,,,,
82,00:11:04,00:11:04,82,1,,,,
83,00:00:00,00:00:00,1,0,,,,
83,00:08:16,00:08:16,83,1,,,,
84,00:00:00,00:00:00,1,0,,,,
84,00:02:58,00:02:58,84,1,,,,
85,00:00:00,00:00:00,1,0,,,,
85,00:44:20,00:44:20,85,1,,,,
86,00:00:00,00:00:00,1,0,,,,
86,00:46:28,00:46:28,86,1,,,,
87,00:00:00,00:00:00,1,0,,,,
87,00:18:29,00:18:29,87,1,,,,
88,00:00:00,00:00:00,1,0,,,,
88,00:10:21,00:10:21,88,1,,,,
89,00:00:00,00:00:00,1,0,,,,
89,00:16:01,00:16:01,89,1,,,,
90,00:00:00,00:00:00,1,0,,,,
90,00:07:20,00:07:20,90,1,,,,
91,00:00:00,00:00:00,1,0,,,,
91,00:07:35,00:07:35,91,1,,,,
92,00:00:00,00:00:00,1,0,,,,
92,00:08:02,00:08:02,92,1,,,,
93,00:00:00,00:00:00,1,0,,,,
93,00:08:04,00:08:04,93,1,,,,
94,00:00:00,00:00:00,1,0,,,,
94,00:04:34,00:04:34,94,1,,,,
95,00:00:00,00:00:00,1,0,,,,
95,00:06:07,00:06:07,95,1,,,,
96,00:00:00,00:00:00,1,0,,,,
96,00:16:06,00:16:06,96,1,,,,
97,00:00:00,00:00:00,1,0,,,,
97,00:09:46,00:09:46,97,1,,,,
98,00:00:00,00:00:00,1,0,,,,
98,00:11:29,00:11:29,98,1,,,,
99,00:00:00,00:00:00,1,0,,,,
99,00:19:41,00:19:41,99,1,,,,
100,00:00:00,00:00:00,1,0,,,,
100,00:11:40,00:11:40,100,1,,,,
101,00:00:00,00:00:00,1,0,,,,
101,00:44:34,00:44:34,101,1,,,,
102,00:00:00,00:00:00,1,0,,,,
102,00:44:44,00:44:44,102,1,,,,
103,00:00:00,00:00:00,1,0,,,,
103,00:46:23,00:46:23,103,1,,,,
