stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
2,123,123,,51.2290244,4.4259458,,,,,,
3,121,121,,51.2273758,4.4306653,,,,,,
4,106,106,,51.2057004,4.4324161,,,,,,
5,97,97,,51.2029589,4.4286304,,,,,,
6,29,29,,51.2018218,4.4060142,,,,,,
7,42,42,,51.2022277,4.4121459,,,,,,
8,90,90,,51.2045829,4.4046785,,,,,,
9,89,89,,51.1984384,4.4022826,,,,,,
10,92,92,,51.2045397,4.41059,,,,,,
11,91,91,,51.208789,4.4083232,,,,,,
12,127,127,,51.2282814,4.4133344,,,,,,
13,104,104,,51.2081612,4.4243359,,,,,,
14,52,52,,51.2259275,4.4145727,,,,,,
15,132,132,,51.2117298,4.4377949,,,,,,
16,78,78,,51.2091875,4.4029221,,,,,,
17,79,79,,51.2112146,4.4074328,,,,,,
18,83,83,,51.2077494,4.3984205,,,,,,
19,99,99,,51.1970837,4.4102753,,,,,,
20,103,103,,51.1929087,4.420915,,,,,,
21,31,31,,51.1930814,4.407981,,,,,,
22,100,100,,51.1949438,4.4165581,,,,,,
23,7,7,,51.2010261,4.4340361,,,,,,
24,133,133,,51.2296249,4.4113027,,,,,,
25,18,18,,51.2182168,4.4058928,,,,,,
26,36,36,,51.2164172,4.4059315,,,,,,
27,105,105,,51.2090852,4.4322771,,,,,,
28,11,11,,51.220011,4.4166477,,,,,,
29,114,114,,51.2222998,4.4337103,,,,,,
30,134,134,,51.2281035,4.4055734,,,,,,
31,88,88,,51.201107,4.4021156,,,,,,
32,70,70,,51.2148427,4.3962755,,,,,,
33,85,85,,51.2057868,4.3987512,,,,,,
34,84,84,,51.2135657,4.4049347,,,,,,
35,82,82,,51.2087419,4.3874147,,,,,,
36,17,17,,51.2188563,4.4011724,,,,,,
37,59,59,,51.2210012,4.3966865,,,,,,
38,34,34,,51.2109518,4.39035,,,,,,
39,66,66,,51.2169847,4.3992541,,,,,,
40,67,67,,51.2157697,4.4031601,,,,,,
41,65,65,,51.216409,4.3936556,,,,,,
42,15,15,,51.2078638,4.3942985,,,,,,
43,71,71,,51.214888,4.3925025,,,,,,
44,75,75,,51.20991,4.3910682,,,,,,
45,64,64,,51.2190777,4.3949029,,,,,,
46,98,98,,51.1998684,4.4187319,,,,,,
47,5,5,,51.213052,4.4215553,,,,,,
48,10,10,,51.1984919,4.3906928,,,,,,
49,87,87,,51.2008431,4.3942068,,,,,,
50,60,60,,51.2216268,4.4005219,,,,,,
51,81,81,,51.2047196,4.3876463,,,,,,
52,23,23,,51.2170734,4.4088689,,,,,,
53,57,57,,51.2215594,4.4026479,,,,,,
54,4,4,,51.2173843,4.4200321,,,,,,
55,122,122,,51.2246647,4.4365882,,,,,,
56,131,131,,51.1937609,4.4121719,,,,,,
57,117,117,,51.2254167,4.4184017,,,,,,
